customer_id,customer_name,email,phone_number,country_code,channel,campaign_id,campaign_name,event_name,event_ts,bounce_classification,revenue,device,browser,city,state,campaign_start_date,campaign_end_date
CUST20384,Deborah Reid,sriley@reilly-paul.com,465-382-8667x72676,US,push,CMP002,Summer Sale,clicked,2026-04-27 06:00:08,soft,83.86,android,chrome,Brendaview,Alaska,20-04-2026,17-05-2026
CUST61493,Shawn Mueller,billyhuerta@duncan.com,987.002.6110,US,sms,CMP004,Welcome Journey,delivered,2026-05-02 23:08:08,soft,0.0,ios,chrome,Allenshire,Ohio,27-04-2026,15-05-2026
CUST72806,Valerie Wade,danielcrane@yahoo.com,872-808-8203,UK,push,CMP001,Diwali Blast,sent,2026-04-19 14:04:08,soft,0.0,web,edge,Maciaschester,Michigan,11-04-2026,09-05-2026
CUST14398,Christopher Bates,carolwilson@smith-moore.com,+1-815-847-2575x71784,US,sms,CMP003,Premium Upgrade,delivered,2026-05-10 21:07:08,hard,0.0,web,safari,Port Nicholas,Illinois,06-05-2026,26-05-2026
CUST52712,Alexander Watson,hallen@bernard.com,8556033944,UK,email,CMP003,Premium Upgrade,bounced,2026-03-22 10:08:08,soft,0.0,ios,edge,Johnsonbury,New Hampshire,13-03-2026,01-04-2026
CUST15912,Maurice Palmer,samanthaphillips@yahoo.com,015-065-0478x5140,AE,sms,CMP003,Premium Upgrade,opened,2026-04-26 09:10:08,hard,0.0,android,firefox,Smithburgh,Iowa,19-04-2026,07-05-2026
CUST58690,Tonya Alvarado,rcook@moore.com,777-349-5832,IN,whatsapp,CMP003,Premium Upgrade,sent,2026-04-03 18:26:08,none,0.0,web,chrome,South Amanda,North Dakota,24-03-2026,12-04-2026
CUST1166,Hayley Lawrence,sarmstrong@gmail.com,788-505-2508,US,email,CMP002,Summer Sale,sent,2026-03-17 21:49:08,soft,0.0,ios,safari,New Richardmouth,Michigan,15-03-2026,28-03-2026
CUST43510,Tammy Bates,qrobbins@yahoo.com,4177855626,UK,sms,CMP005,Cart Recovery,clicked,2026-04-08 20:16:08,soft,2911.85,web,edge,North Carl,Utah,07-04-2026,13-04-2026
CUST96496,Timothy Stevens,llopez@gmail.com,080.573.0392x808,AE,email,CMP005,Cart Recovery,clicked,2026-04-20 05:23:08,hard,708.9,ios,chrome,Nicolemouth,Kansas,15-04-2026,08-05-2026
CUST36271,Beverly Hinton,ztorres@gmail.com,(216)716-4360x415,IN,sms,CMP005,Cart Recovery,clicked,2026-04-18 02:04:08,soft,1381.79,web,firefox,South Susan,Utah,14-04-2026,25-04-2026
CUST85221,Craig Thomas,amber23@oliver-phillips.org,604-795-9412x6573,AE,whatsapp,CMP003,Premium Upgrade,clicked,2026-05-09 01:29:08,soft,3865.03,ios,edge,North Corey,Florida,06-05-2026,28-05-2026
CUST43963,Sharon Kim,latashachandler@nguyen-jackson.org,(155)939-5891x803,SG,push,CMP004,Welcome Journey,sent,2026-03-29 03:05:08,soft,0.0,ios,chrome,Aliciaborough,Maine,22-03-2026,05-04-2026
CUST27293,Mark Newton,donald40@nelson.com,+1-497-373-0245x7039,SG,whatsapp,CMP002,Summer Sale,submission,2026-03-17 12:18:08,none,867.88,android,edge,West Natalie,Alabama,10-03-2026,30-03-2026
CUST50217,Elizabeth Gray,pwiggins@gmail.com,710.299.3716x78758,UK,sms,CMP002,Summer Sale,sent,2026-04-08 10:54:08,soft,0.0,web,edge,Thompsonberg,Vermont,01-04-2026,15-04-2026
CUST4666,Michael Yang,zachary11@newman.com,7097841026,SG,push,CMP001,Diwali Blast,sent,2026-04-26 22:59:08,none,0.0,ios,firefox,Gilbertchester,Virginia,21-04-2026,15-05-2026
CUST94312,Victoria Hoffman,mackenziehorne@henderson-russo.com,+1-883-446-6692,UK,whatsapp,CMP001,Diwali Blast,clicked,2026-04-15 18:51:08,soft,825.16,ios,edge,West Erin,Utah,08-04-2026,05-05-2026
CUST44101,Robert Moyer,ypetty@gmail.com,018-246-8269x7700,AE,email,CMP005,Cart Recovery,sent,2026-05-03 06:02:08,soft,0.0,web,chrome,Hartmanchester,South Dakota,28-04-2026,09-05-2026
CUST56110,Jessica Payne,stephensullivan@hotmail.com,775-661-0896,UK,email,CMP005,Cart Recovery,sent,2026-03-25 23:04:08,hard,0.0,ios,chrome,Lake Ashlee,Illinois,24-03-2026,09-04-2026
CUST28295,Jerome Lee,ismith@gmail.com,028-203-6325x3853,AE,sms,CMP001,Diwali Blast,submission,2026-05-01 19:23:08,soft,601.67,ios,safari,New Jennifer,Idaho,21-04-2026,09-05-2026
CUST49088,Kyle Bush,odominguez@yahoo.com,+1-062-066-3038x93024,AE,whatsapp,CMP002,Summer Sale,sent,2026-04-12 04:35:08,soft,0.0,ios,safari,New Nathan,Hawaii,05-04-2026,18-04-2026
CUST10986,Michelle Gilbert,mark07@frank.biz,(462)916-8727x892,SG,push,CMP002,Summer Sale,submission,2026-03-16 13:24:08,soft,3197.06,web,firefox,West Jennifer,New Mexico,12-03-2026,05-04-2026
CUST12230,Taylor Hernandez,bduke@hotmail.com,+1-618-381-0150x5131,UK,email,CMP005,Cart Recovery,clicked,2026-05-05 07:43:08,none,3020.3,android,firefox,Jenkinsberg,Nebraska,02-05-2026,16-05-2026
CUST49236,James Myers,james24@hotmail.com,+1-756-160-9630x479,UK,push,CMP002,Summer Sale,submission,2026-03-31 08:04:08,none,4505.59,web,firefox,Nicholasmouth,Indiana,23-03-2026,05-04-2026
CUST28077,Emily Campbell,williamsamy@hotmail.com,(749)677-9345x119,UK,whatsapp,CMP003,Premium Upgrade,opened,2026-05-13 10:01:08,soft,0.0,android,safari,Mariahaven,Alaska,07-05-2026,23-05-2026
CUST9086,Cheryl Robertson,moorecody@lee-kramer.net,(165)121-9989x612,US,push,CMP005,Cart Recovery,delivered,2026-03-16 12:28:08,none,0.0,android,edge,Collinmouth,Georgia,08-03-2026,31-03-2026
CUST47125,Michael Anderson,dan26@yahoo.com,(904)696-8608x04990,AE,whatsapp,CMP001,Diwali Blast,clicked,2026-04-18 00:09:08,hard,3823.01,ios,firefox,South Jeffrey,Vermont,08-04-2026,27-04-2026
CUST80792,John Ward,dcasey@haley.biz,4664885050,US,push,CMP004,Welcome Journey,delivered,2026-03-25 03:56:08,none,0.0,android,firefox,Mendozamouth,Utah,15-03-2026,12-04-2026
CUST90367,David Austin,lcooper@yahoo.com,750-217-8179,SG,email,CMP005,Cart Recovery,sent,2026-04-23 03:56:08,none,0.0,ios,chrome,Lake Ricky,Rhode Island,16-04-2026,04-05-2026
CUST84260,Robert Carter,ystephenson@yahoo.com,(999)700-7527x1955,UK,whatsapp,CMP001,Diwali Blast,submission,2026-03-28 11:46:08,soft,2663.85,web,firefox,Murphyville,Kentucky,25-03-2026,03-04-2026
CUST46868,Angela Diaz,rachelserrano@russell.com,+1-048-467-7195,SG,email,CMP004,Welcome Journey,bounced,2026-03-31 19:16:08,soft,0.0,android,chrome,Adrianberg,Oregon,22-03-2026,07-04-2026
CUST64978,Catherine Reed,robinsonkatie@gmail.com,001-132-538-0905x25117,AE,whatsapp,CMP005,Cart Recovery,delivered,2026-04-20 01:13:08,soft,0.0,ios,edge,New Victoriafort,Mississippi,10-04-2026,27-04-2026
CUST37507,Jason Lee,martineztony@yahoo.com,853-121-0659x4742,UK,whatsapp,CMP003,Premium Upgrade,clicked,2026-05-10 00:09:08,soft,4457.37,android,safari,Lake Kennethberg,Minnesota,07-05-2026,16-05-2026
CUST29352,Victor Gordon,ashleyolsen@black.com,835-165-3128,IN,push,CMP002,Summer Sale,clicked,2026-04-27 20:19:08,soft,4233.48,ios,chrome,Jenniferhaven,Nebraska,24-04-2026,09-05-2026
CUST96240,Patricia Acosta,huntjennifer@jones.com,892.521.3360,US,sms,CMP005,Cart Recovery,opened,2026-05-12 07:32:08,soft,0.0,web,chrome,Padillaville,Massachusetts,06-05-2026,18-05-2026
CUST4398,Kimberly Wong,joshua31@hotmail.com,838-948-1960x014,US,sms,CMP004,Welcome Journey,sent,2026-05-02 15:28:08,hard,0.0,ios,chrome,East Susan,Maine,24-04-2026,08-05-2026
CUST11844,Ryan Rosario,christinamora@gmail.com,(669)763-4033,AE,email,CMP001,Diwali Blast,delivered,2026-05-07 18:35:08,soft,0.0,web,chrome,Jessicaberg,Connecticut,02-05-2026,25-05-2026
CUST84012,Rebekah Henry,joshua60@norris.com,276-690-0937x174,US,sms,CMP002,Summer Sale,submission,2026-04-28 08:32:08,hard,215.45,android,firefox,Christophermouth,South Dakota,24-04-2026,08-05-2026
CUST16698,George Booth,vincent45@hotmail.com,(270)286-3083x226,UK,whatsapp,CMP004,Welcome Journey,sent,2026-03-25 10:11:08,none,0.0,ios,chrome,Johnport,Ohio,16-03-2026,03-04-2026
CUST21713,Anne Garcia,lovetiffany@johnson.biz,(705)284-7159,US,whatsapp,CMP004,Welcome Journey,clicked,2026-04-02 04:20:08,none,1569.55,web,edge,Lake Johnchester,Delaware,01-04-2026,07-04-2026
CUST24275,Tabitha Williams,jessicaperry@carpenter-rich.biz,2239591949,AE,whatsapp,CMP004,Welcome Journey,submission,2026-03-19 00:38:08,none,2309.89,web,chrome,North Michaelhaven,New Mexico,13-03-2026,08-04-2026
CUST5282,Ashley Smith,qgriffin@williams-hill.com,001-315-054-6311,US,email,CMP005,Cart Recovery,bounced,2026-04-21 12:17:08,soft,0.0,ios,firefox,New Kevinbury,Montana,19-04-2026,27-04-2026
CUST13905,Paula Perez,katherine92@hotmail.com,+1-766-194-2739x0565,IN,whatsapp,CMP003,Premium Upgrade,sent,2026-03-20 19:34:08,hard,0.0,ios,firefox,Lake Lorishire,Nebraska,18-03-2026,25-03-2026
CUST14624,Christian Herrera,jonesaaron@rocha.com,253-851-2534x921,IN,push,CMP003,Premium Upgrade,sent,2026-03-19 22:49:08,hard,0.0,web,safari,Sullivanport,Florida,12-03-2026,07-04-2026
CUST66623,Daniel Wright,nicole57@gmail.com,001-644-657-3253,SG,push,CMP004,Welcome Journey,clicked,2026-04-21 12:45:08,hard,1225.77,web,firefox,Lake Markville,Maryland,16-04-2026,06-05-2026
CUST65056,Kylie Manning,james08@wilcox.com,(991)423-8758,US,sms,CMP003,Premium Upgrade,delivered,2026-04-21 15:24:08,none,0.0,android,safari,Bowentown,Oregon,17-04-2026,08-05-2026
CUST86414,Shannon Harris,jacobholmes@schneider.biz,204.987.8103,UK,sms,CMP001,Diwali Blast,sent,2026-04-22 13:02:08,hard,0.0,ios,chrome,New Johnland,Florida,12-04-2026,12-05-2026
CUST32844,Matthew Hutchinson,taylorpaul@hess-rice.net,001-266-670-4523,AE,push,CMP002,Summer Sale,sent,2026-04-15 19:29:08,soft,0.0,android,safari,Ryanbury,Missouri,06-04-2026,04-05-2026
CUST96105,Martin Bennett,yerickson@yahoo.com,105.882.5475x228,US,sms,CMP004,Welcome Journey,sent,2026-04-09 08:07:08,none,0.0,web,chrome,Ramirezbury,Delaware,08-04-2026,29-04-2026
CUST11898,Joseph Simmons,brownjesse@gmail.com,001-837-521-5694x321,AE,sms,CMP001,Diwali Blast,submission,2026-05-02 05:14:08,soft,953.65,android,chrome,Brittanyshire,Tennessee,01-05-2026,09-05-2026
CUST67257,Jessica Smith,amanda08@gmail.com,578.748.7188x10354,US,email,CMP001,Diwali Blast,sent,2026-03-20 22:31:08,none,0.0,ios,chrome,Douglasfort,Pennsylvania,16-03-2026,30-03-2026
CUST27888,Mrs. Adriana Moore MD,angeladavidson@thomas-dunn.com,(642)636-5322x097,SG,sms,CMP002,Summer Sale,delivered,2026-04-23 16:58:08,none,0.0,ios,edge,Robertchester,Alabama,22-04-2026,06-05-2026
CUST60538,William Jimenez,jacobsjohnny@yahoo.com,924.553.9173x7462,SG,whatsapp,CMP001,Diwali Blast,submission,2026-03-23 06:29:08,none,4422.62,ios,safari,Reedport,North Dakota,18-03-2026,05-04-2026
CUST7713,Shannon Thornton,spencer38@yahoo.com,5732660506,SG,push,CMP003,Premium Upgrade,sent,2026-04-08 08:17:08,hard,0.0,ios,chrome,New Steventown,Florida,03-04-2026,21-04-2026
CUST64601,John Cardenas,yvonne49@hunter.info,+1-693-133-8714x144,AE,email,CMP002,Summer Sale,bounced,2026-05-06 05:08:08,soft,0.0,android,safari,South Stephanieside,Massachusetts,05-05-2026,18-05-2026
CUST85036,Lisa Horton,bautistakyle@gmail.com,001-270-529-5017x050,SG,sms,CMP004,Welcome Journey,opened,2026-03-21 03:42:08,soft,0.0,android,edge,Timothyside,Kansas,16-03-2026,02-04-2026
CUST39723,Kyle Jones,ehernandez@jones.com,984.806.6276,US,email,CMP004,Welcome Journey,clicked,2026-05-11 10:07:08,none,4859.1,web,chrome,Peterchester,Idaho,10-05-2026,20-05-2026
CUST48867,Stephen Cohen,waynehawkins@snyder.biz,608.892.0325x46127,US,sms,CMP002,Summer Sale,submission,2026-03-28 13:21:08,hard,4332.59,ios,firefox,North Kristin,Florida,26-03-2026,12-04-2026
CUST9103,Paula Williams,christine91@mora.com,001-273-928-9094x35433,IN,sms,CMP005,Cart Recovery,sent,2026-03-23 20:13:08,none,0.0,ios,chrome,Lake Wendytown,South Dakota,18-03-2026,09-04-2026
CUST85791,Taylor Clark,laurenward@gmail.com,(341)467-1706x6945,AE,sms,CMP005,Cart Recovery,delivered,2026-04-25 18:25:08,soft,0.0,android,edge,Smithtown,Georgia,15-04-2026,15-05-2026
CUST71542,Laurie Schneider,meyerdaniel@hotmail.com,3830363208,SG,sms,CMP003,Premium Upgrade,sent,2026-04-22 05:36:08,soft,0.0,android,edge,New Debra,Montana,15-04-2026,01-05-2026
CUST51172,Michael Graham,kevin79@gmail.com,+1-561-778-9452x8096,UK,sms,CMP002,Summer Sale,opened,2026-03-31 10:51:08,none,0.0,ios,safari,North Ashley,Ohio,26-03-2026,06-04-2026
CUST37252,Alan Walter,joel18@powers.org,269-361-7083x98949,US,push,CMP003,Premium Upgrade,sent,2026-03-28 14:01:08,hard,0.0,web,chrome,North Davidhaven,New Jersey,22-03-2026,07-04-2026
CUST47492,Brittany Zamora,jeffreysalazar@jones-brown.com,195.397.3963,UK,sms,CMP005,Cart Recovery,sent,2026-05-02 07:04:08,none,0.0,web,edge,Parksmouth,South Carolina,22-04-2026,19-05-2026
CUST56412,Vanessa Lewis,sean66@gmail.com,001-874-554-7129x090,SG,sms,CMP002,Summer Sale,submission,2026-04-09 15:44:08,none,4463.08,android,chrome,North Michaelchester,Massachusetts,07-04-2026,29-04-2026
CUST80373,Gary Woods,laura26@yahoo.com,+1-127-869-7469,SG,push,CMP002,Summer Sale,sent,2026-04-18 08:14:08,hard,0.0,web,safari,Port Matthewland,Utah,09-04-2026,07-05-2026
CUST12436,Jennifer Guzman,michaeljordan@martin.com,(318)268-3150x271,UK,whatsapp,CMP001,Diwali Blast,delivered,2026-05-08 16:06:08,none,0.0,web,firefox,Kimborough,Colorado,04-05-2026,17-05-2026
CUST59807,Jade Davis DDS,millspaige@browning.com,641-017-4956,UK,whatsapp,CMP005,Cart Recovery,clicked,2026-03-26 22:48:08,none,4878.5,ios,firefox,Everettburgh,Wisconsin,19-03-2026,13-04-2026
CUST12024,Alfred Rodriguez,oedwards@benson.com,001-890-584-1862x84230,AE,sms,CMP003,Premium Upgrade,sent,2026-04-03 17:22:08,soft,0.0,android,safari,Rubenborough,Arkansas,27-03-2026,22-04-2026
CUST37362,Charles Fleming,wacosta@yahoo.com,475.762.0477x198,IN,email,CMP001,Diwali Blast,clicked,2026-04-17 01:12:08,hard,1185.59,web,edge,Crystalburgh,New Mexico,11-04-2026,07-05-2026
CUST77788,Cassandra Burns,mullenjoseph@yates-villa.info,(661)829-0959x983,UK,push,CMP005,Cart Recovery,opened,2026-04-11 07:00:08,none,0.0,android,edge,Anitaville,Alabama,02-04-2026,01-05-2026
CUST71775,Sheryl Hughes,browntammie@gmail.com,034.445.2011x1170,IN,whatsapp,CMP005,Cart Recovery,clicked,2026-05-09 07:28:08,none,3630.18,web,firefox,South Kristopherbury,Louisiana,03-05-2026,29-05-2026
CUST16514,Lori Nelson,sydney11@williams.org,001-073-008-8728,AE,email,CMP004,Welcome Journey,opened,2026-04-02 09:04:08,hard,0.0,web,chrome,South Billy,Nevada,25-03-2026,09-04-2026
CUST16783,Stephanie King,andrea75@yahoo.com,834-913-1272,IN,sms,CMP003,Premium Upgrade,opened,2026-04-05 03:35:08,hard,0.0,ios,edge,Vasquezside,Missouri,31-03-2026,19-04-2026
CUST13220,Lisa Wright,qgarcia@hotmail.com,+1-998-477-7412,UK,email,CMP004,Welcome Journey,clicked,2026-03-27 09:17:08,soft,1488.55,web,firefox,Port Sabrina,Ohio,24-03-2026,02-04-2026
CUST53636,Derrick Ford,vgarcia@ward.com,(261)314-5775x48068,US,whatsapp,CMP001,Diwali Blast,submission,2026-04-20 17:41:08,none,1965.17,android,firefox,Moralesshire,Michigan,15-04-2026,02-05-2026
CUST26960,Alexander Hernandez,lpatterson@larson.com,2098741018,SG,push,CMP002,Summer Sale,submission,2026-05-13 09:31:08,hard,3976.08,ios,safari,Dianamouth,Hawaii,11-05-2026,31-05-2026
CUST16853,Vincent Williams,teresashelton@boyd.com,4864598377,SG,push,CMP004,Welcome Journey,submission,2026-04-30 17:09:08,none,3960.95,web,safari,Ericberg,Georgia,21-04-2026,13-05-2026
CUST85815,Audrey Ewing,elizabeth54@thompson-ponce.com,001-730-456-5227,IN,sms,CMP001,Diwali Blast,sent,2026-04-10 04:02:08,soft,0.0,web,firefox,East Deborah,California,08-04-2026,28-04-2026
CUST93758,Cole Brown,traci05@hotmail.com,140-951-2397,UK,whatsapp,CMP005,Cart Recovery,sent,2026-04-16 17:56:08,none,0.0,android,edge,Christopherton,Tennessee,15-04-2026,04-05-2026
CUST28577,Stephanie Johnson,fgarcia@gmail.com,001-776-329-0077x346,UK,whatsapp,CMP005,Cart Recovery,sent,2026-04-14 08:39:08,hard,0.0,web,firefox,East Kelly,Mississippi,07-04-2026,19-04-2026
CUST26132,Eugene Hammond,andreamontgomery@gmail.com,955.098.6211,AE,email,CMP003,Premium Upgrade,bounced,2026-04-19 06:32:08,soft,0.0,web,firefox,Fryestad,Alaska,09-04-2026,28-04-2026
CUST76033,Nancy Scott,kimberly32@yahoo.com,330-891-6607x5416,US,push,CMP002,Summer Sale,submission,2026-05-03 01:55:08,soft,2806.01,web,firefox,East Moniqueberg,Utah,24-04-2026,22-05-2026
CUST24289,Kenneth Sandoval,rrodriguez@hotmail.com,001-144-200-8674x7529,AE,email,CMP001,Diwali Blast,bounced,2026-05-11 03:10:08,none,0.0,ios,firefox,South Jeremyberg,Wyoming,07-05-2026,17-05-2026
CUST88999,Linda Bates,santanajake@hotmail.com,(909)706-4487x6955,IN,sms,CMP003,Premium Upgrade,clicked,2026-03-24 10:16:08,hard,1221.8,android,firefox,Donaldview,Hawaii,18-03-2026,02-04-2026
CUST66657,Dawn Becker,jackfarley@gmail.com,+1-611-614-5293x3788,UK,email,CMP004,Welcome Journey,clicked,2026-03-31 10:09:08,hard,4206.57,web,chrome,New Rebecca,West Virginia,29-03-2026,19-04-2026
CUST29031,Jennifer Stephenson,wayne71@brown.com,(414)868-5463,UK,sms,CMP002,Summer Sale,submission,2026-05-11 21:55:08,soft,1752.99,ios,safari,East Zachary,New Jersey,07-05-2026,23-05-2026
CUST34876,Michael Aguilar,bobby49@perkins.net,+1-960-245-8801x898,IN,whatsapp,CMP003,Premium Upgrade,opened,2026-04-03 18:27:08,hard,0.0,android,safari,South Henryhaven,Maryland,28-03-2026,23-04-2026
CUST69291,Ann Zimmerman,malikadams@adkins-potts.com,+1-791-343-2916x7821,AE,email,CMP001,Diwali Blast,sent,2026-03-28 09:00:08,hard,0.0,web,safari,New Craig,New Mexico,19-03-2026,12-04-2026
CUST25924,James Andrews,reynoldsbrandon@thomas.com,+1-112-701-5839x5963,US,whatsapp,CMP003,Premium Upgrade,submission,2026-03-27 11:49:08,none,2040.59,ios,chrome,Allenville,South Dakota,23-03-2026,16-04-2026
CUST87127,Michael Jacobs,nwalton@hill-hartman.com,373-012-6965x6756,AE,email,CMP001,Diwali Blast,opened,2026-04-19 12:18:08,none,0.0,ios,chrome,South Tina,Wyoming,12-04-2026,01-05-2026
CUST73009,Michael Stewart,james00@yahoo.com,+1-037-289-8497x74988,AE,sms,CMP003,Premium Upgrade,opened,2026-05-09 00:51:08,soft,0.0,android,chrome,South Michelle,Arkansas,30-04-2026,19-05-2026
CUST7414,Sarah King,rmiller@yahoo.com,792-709-6767,SG,whatsapp,CMP004,Welcome Journey,opened,2026-03-22 12:05:08,soft,0.0,ios,firefox,Jacksonside,New Mexico,15-03-2026,11-04-2026
CUST64459,Christina Conner,xkey@wallace.com,(342)587-5990x4760,UK,whatsapp,CMP004,Welcome Journey,opened,2026-04-11 17:57:08,soft,0.0,android,edge,South Maria,Kentucky,09-04-2026,20-04-2026
CUST31178,Ms. Sheryl Aguirre,deckermichelle@holder.biz,733-425-7432,IN,whatsapp,CMP001,Diwali Blast,clicked,2026-05-04 12:35:08,hard,4976.31,ios,safari,Adamsberg,Maryland,28-04-2026,13-05-2026
CUST87485,Jon French,ricejoshua@jimenez.com,479-940-4989x30260,UK,whatsapp,CMP002,Summer Sale,sent,2026-05-05 00:48:08,soft,0.0,android,firefox,East Dennis,New Jersey,02-05-2026,15-05-2026
CUST47978,Richard Atkinson,kelly42@roberts.biz,5431630028,SG,whatsapp,CMP004,Welcome Journey,delivered,2026-04-16 10:58:08,hard,0.0,web,firefox,South James,Texas,06-04-2026,03-05-2026
CUST1007,Michelle Cook,meganbarnett@kim.com,812-277-4720x4430,UK,email,CMP001,Diwali Blast,unsubscribed,2026-03-18 06:26:08,hard,0.0,android,firefox,Lake Amyville,Indiana,09-03-2026,28-03-2026
CUST37495,Julie Vargas,nathan36@yahoo.com,716-597-5088x89090,US,sms,CMP003,Premium Upgrade,delivered,2026-03-18 17:13:08,soft,0.0,android,firefox,East Alan,Maryland,15-03-2026,30-03-2026
CUST51141,Melanie Jones,ijohnson@riggs-owen.biz,+1-587-268-8292,SG,email,CMP001,Diwali Blast,bounced,2026-04-30 19:13:08,hard,0.0,ios,edge,Wilcoxberg,Louisiana,23-04-2026,07-05-2026
CUST67553,Lisa Russo,gavila@williams.com,(131)671-3645x799,UK,email,CMP004,Welcome Journey,sent,2026-05-01 22:59:08,hard,0.0,android,chrome,Sarahshire,Oklahoma,30-04-2026,21-05-2026
CUST54860,Kimberly Williams,terribennett@rasmussen-donovan.com,001-406-065-8951x77221,US,push,CMP003,Premium Upgrade,delivered,2026-05-09 18:24:08,hard,0.0,ios,safari,South Jessicamouth,Wyoming,06-05-2026,26-05-2026
CUST97785,Mr. Ryan Nunez,dgallagher@clark.info,082.209.4685,IN,push,CMP001,Diwali Blast,sent,2026-04-18 10:15:08,hard,0.0,android,safari,New Thomaschester,Virginia,12-04-2026,23-04-2026
CUST2340,Maria Davis,aaronchambers@walker.org,056.476.2258,SG,push,CMP002,Summer Sale,opened,2026-04-15 18:19:08,none,0.0,web,safari,Port Brandon,South Carolina,10-04-2026,27-04-2026
CUST67262,Heather Sampson,campbelljeffrey@hartman-shaw.com,+1-733-750-5018x731,IN,sms,CMP005,Cart Recovery,clicked,2026-04-18 13:43:08,none,1491.05,android,chrome,Jamesborough,Oklahoma,16-04-2026,08-05-2026
CUST46975,Margaret Nelson,ivan62@reed-warren.com,858-734-3964,UK,push,CMP004,Welcome Journey,sent,2026-03-22 13:09:08,soft,0.0,android,safari,Adamschester,Utah,13-03-2026,11-04-2026
CUST24447,Bryan Wright,thenderson@hotmail.com,+1-964-273-5769,US,email,CMP002,Summer Sale,delivered,2026-05-10 09:46:08,soft,0.0,android,firefox,Alvarezburgh,Michigan,03-05-2026,18-05-2026
CUST32158,Jeanette Leon,hoodjames@sparks.com,6562036671,IN,sms,CMP002,Summer Sale,clicked,2026-03-21 11:24:08,hard,2552.36,ios,chrome,Port Kayla,West Virginia,16-03-2026,08-04-2026
CUST75832,Emily Carlson,burnettleslie@hunter.org,670-594-5770,AE,push,CMP003,Premium Upgrade,submission,2026-05-12 15:54:08,soft,358.67,android,chrome,South Devin,Washington,10-05-2026,30-05-2026
CUST54486,Susan Johnson,josephhart@yahoo.com,133.127.9783,IN,sms,CMP002,Summer Sale,sent,2026-05-02 14:34:08,soft,0.0,ios,firefox,East Maria,Minnesota,01-05-2026,14-05-2026
CUST51094,Raymond Nguyen DDS,jennifer10@yahoo.com,575.928.8696,US,push,CMP003,Premium Upgrade,opened,2026-05-12 17:43:08,soft,0.0,android,edge,Port Kristinburgh,Montana,07-05-2026,28-05-2026
